is_squeezed,energy_level,momentum,fired,timestamp,ticker
True,1,-0.058333555857340486,False,2026-03-20 00:00:00,6616.TWO
True,1,-0.5000003178914388,False,2026-03-20 00:00:00,6662.TWO
True,1,0.041666666666666664,False,2026-03-19 00:00:00,6661.TWO
True,1,0.1333332061767578,False,2026-03-20 00:00:00,6804.TWO
True,1,-0.016665776570638023,False,2026-03-20 00:00:00,6821.TWO
True,1,-0.5333340962727865,False,2026-03-20 00:00:00,6846.TWO
True,1,0.7916660308837891,False,2026-03-20 00:00:00,6875.TWO
True,1,0.13333288828531897,False,2026-03-20 00:00:00,6929.TWO
True,1,0.0666669209798177,False,2026-03-20 00:00:00,6971.TWO
True,1,1.25,False,2026-03-19 00:00:00,7747.TWO
True,1,-0.28833357493082684,False,2026-03-19 00:00:00,8488.TW
True,1,-0.5916659037272135,False,2026-03-19 00:00:00,8941.TWO
True,0,-0.06500021616617838,False,2026-03-20 00:00:00,0061.TW
True,0,-0.018332958221435547,False,2026-03-19 00:00:00,1213.TW
True,0,-0.016666412353515625,False,2026-03-20 00:00:00,1219.TW
True,0,-0.14166768391927087,False,2026-03-20 00:00:00,1229.TW
True,0,-1.6666666666666665,False,2026-03-20 00:00:00,1232.TW
True,0,0.3833325703938802,False,2026-03-20 00:00:00,1240.TWO
True,0,-0.5833333333333333,False,2026-03-20 00:00:00,1264.TWO
True,0,-2.0,False,2026-03-20 00:00:00,1268.TWO
True,0,-0.300000508626302,False,2026-03-20 00:00:00,1307.TW
True,0,0.6499997774759928,False,2026-03-20 00:00:00,1312.TW
True,0,-0.5583343505859375,False,2026-03-20 00:00:00,1321.TW
True,0,0.20833333333333331,False,2026-03-20 00:00:00,1323.TW
True,0,-0.1916664441426595,False,2026-03-20 00:00:00,1324.TW
True,0,0.1183333396911621,False,2026-03-20 00:00:00,1340.TW
True,0,-0.02500009536743164,False,2026-03-20 00:00:00,1416.TW
True,0,-0.6166667938232422,False,2026-03-20 00:00:00,1418.TW
True,0,-0.1266665458679199,False,2026-03-20 00:00:00,1441.TW
True,0,0.043333371480305985,False,2026-03-20 00:00:00,1447.TW
True,0,-0.43333371480305993,False,2026-03-20 00:00:00,1451.TW
True,0,0.3666664759318034,False,2026-03-20 00:00:00,1456.TW
True,0,0.033333381017049156,False,2026-03-20 00:00:00,1460.TW
True,0,-0.23333326975504556,False,2026-03-20 00:00:00,1465.TW
True,0,-1.158333460489909,False,2026-03-20 00:00:00,1470.TW
True,0,-2.216666539510091,False,2026-03-19 00:00:00,1525.TW
True,0,-0.558333396911621,False,2026-03-20 00:00:00,1528.TW
True,0,0.37499999999999994,False,2026-03-20 00:00:00,1533.TW
True,0,-0.08333333333333333,False,2026-03-20 00:00:00,1537.TW
True,0,0.3833335240681966,False,2026-03-20 00:00:00,1541.TW
True,0,0.15833314259847003,False,2026-03-20 00:00:00,1570.TWO
True,0,-5.551115123125783e-17,False,2026-03-20 00:00:00,1580.TWO
True,0,0.03333473205566404,False,2026-03-20 00:00:00,1595.TWO
True,0,-0.4500001271565755,False,2026-03-20 00:00:00,1717.TW
True,0,-0.10666656494140625,False,2026-03-20 00:00:00,1714.TW
True,0,-0.17499987284342447,False,2026-03-20 00:00:00,1731.TW
True,0,0.3333336512247721,False,2026-03-20 00:00:00,1734.TW
True,0,-0.09999974568684894,False,2026-03-20 00:00:00,1737.TW
True,0,-0.5083325703938801,False,2026-03-20 00:00:00,1752.TW
True,0,-5.75,False,2026-03-20 00:00:00,1773.TW
True,0,-0.275000254313151,False,2026-03-20 00:00:00,1781.TWO
True,0,0.5833333333333333,False,2026-03-19 00:00:00,1788.TWO
True,0,-1.0833333333333335,False,2026-03-20 00:00:00,1815.TWO
True,0,-0.2416674296061198,False,2026-03-20 00:00:00,1817.TW
True,0,0.7333335876464844,False,2026-03-20 00:00:00,2015.TW
True,0,-0.21666653951009118,False,2026-03-20 00:00:00,2020.TW
True,0,-0.1333332061767578,False,2026-03-20 00:00:00,2023.TW
True,0,-0.45833349227905273,False,2026-03-20 00:00:00,2033.TW
True,0,-0.2500003178914388,False,2026-03-19 00:00:00,2035.TWO
True,0,-5.416666666666667,False,2026-03-20 00:00:00,2049.TW
True,0,0.10833326975504558,False,2026-03-20 00:00:00,2038.TW
True,0,-0.016666730244954422,False,2026-03-20 00:00:00,2063.TWO
True,0,-0.0666662851969401,False,2026-03-19 00:00:00,2064.TWO
True,0,0.2000001271565755,False,2026-03-20 00:00:00,2069.TW
True,0,-0.31666628519694007,False,2026-03-20 00:00:00,2070.TWO
True,0,-0.30000019073486334,False,2026-03-20 00:00:00,2104.TW
True,0,0.016666730244954422,False,2026-03-20 00:00:00,2109.TW
True,0,-0.75,False,2026-03-20 00:00:00,2114.TW
True,0,-0.41666666666666663,False,2026-03-20 00:00:00,2211.TW
True,0,-3.5,False,2026-03-20 00:00:00,2236.TW
True,0,0.5999997456868489,False,2026-03-20 00:00:00,2241.TW
True,0,-0.1249998410542806,False,2026-03-20 00:00:00,2332.TW
True,0,1.3166675567626953,False,2026-03-20 00:00:00,2364.TW
True,0,-0.5166670481363931,False,2026-03-20 00:00:00,2373.TW
True,0,-0.09999974568684891,False,2026-03-20 00:00:00,2377.TW
True,0,8.166666666666666,False,2026-03-20 00:00:00,2379.TW
True,0,-2.916666666666666,False,2026-03-20 00:00:00,2382.TW
True,0,-2.333333333333333,False,2026-03-20 00:00:00,2385.TW
True,0,-0.15833361943562826,False,2026-03-20 00:00:00,2409.TW
True,0,0.24999999999999994,False,2026-03-20 00:00:00,2412.TW
True,0,0.808333396911621,False,2026-03-20 00:00:00,2419.TW
True,0,0.3833338419596354,False,2026-03-20 00:00:00,2420.TW
True,0,-0.28333473205566406,False,2026-03-20 00:00:00,2423.TW
